EG_GH_ID YEAR MONTH DAY TIME  D   F
H2BORH01 2024 12    31  13:10 249  ,5
H2BORH01 2024 12    31  13:20 345  ,1
H2BORH01 2024 12    31  13:30   8  ,1
H2BORH01 2024 12    31  13:40   4  ,1
H2DEST01 2024 12    31  13:00 159   2
H2DEST01 2024 12    31  13:10 172 1,8
H2DEST01 2024 12    31  13:20 171 1,7
H2DEST01 2024 12    31  13:30 172 1,5
H2DEST01 2024 12    31  13:40 183 1,8
H2KRAL01 2024 12    31  13:00 132 2,6
H2KRAL01 2024 12    31  13:10 138   3
H2KRAL01 2024 12    31  13:20 133 2,8
H2KRAL01 2024 12    31  13:30 118 2,7
H2KRAL01 2024 12    31  13:40 126 3,1
H2POLO01 2024 12    31  13:00 183 3,9
H2POLO01 2024 12    31  13:10 184 3,9
H2POLO01 2024 12    31  13:20 186 3,7
H2POLO01 2024 12    31  13:30 186 3,9
H2POLO01 2024 12    31  13:40 185 3,9
H2RYCH01 2024 12    31  13:00 147 1,1
H2RYCH01 2024 12    31  13:10 154  ,7
H2RYCH01 2024 12    31  13:20 128  ,8
H2RYCH01 2024 12    31  13:30 146 1,2
H2RYCH01 2024 12    31  13:40 164 1,6
H2USTI01 2024 12    31  13:00 114 2,4
H2USTI01 2024 12    31  13:10 116 2,5
H2USTI01 2024 12    31  13:20 114 2,4
H2USTI01 2024 12    31  13:30 115 2,6
H2USTI01 2024 12    31  13:40 118 2,8
H2ZAMB01 2024 12    31  13:00 125   1
H2ZAMB01 2024 12    31  13:10 126 1,3
H2ZAMB01 2024 12    31  13:20 115 1,9
H2ZAMB01 2024 12    31  13:30 126   1
H2ZAMB01 2024 12    31  13:40 125  ,4
H3BROU01 2024 12    31  13:00 267 2,4
H3BROU01 2024 12    31  13:10 307 2,7
H3BROU01 2024 12    31  13:20 313 3,1
H3BROU01 2024 12    31  13:30 282 3,3
H3CHTU01 2024 12    31  13:00  22  ,8
H3CHTU01 2024 12    31  13:10 339  ,8
H3CHTU01 2024 12    31  13:20 310  ,7
H3CHTU01 2024 12    31  13:30 309  ,6
H3CHTU01 2024 12    31  13:40 264  ,4
H3GAJE01 2024 12    31  13:00 122 1,4
H3GAJE01 2024 12    31  13:10 118 1,5
H3GAJE01 2024 12    31  13:20 122 1,4
H3GAJE01 2024 12    31  13:30 121 1,4
H3GAJE01 2024 12    31  13:40 121 1,4
H3HOLO01 2024 12    31  13:00 153   1
H3HOLO01 2024 12    31  13:10 165  ,9
H3HOLO01 2024 12    31  13:20 164  ,9
H3HOLO01 2024 12    31  13:30 162  ,8
H3HOLO01 2024 12    31  13:40 165  ,8
H3HRAD01 2024 12    31  13:00   0   0
H3HRAD01 2024 12    31  13:10 356  ,1
H3HRAD01 2024 12    31  13:20 356  ,1
H3HRAD01 2024 12    31  13:30  11  ,1
H3HRAD01 2024 12    31  13:40   3  ,3
H3HRUS01 2024 12    31  13:00  36  ,6
H3HRUS01 2024 12    31  13:10  24  ,7
H3HRUS01 2024 12    31  13:20  42  ,9
H3HRUS01 2024 12    31  13:30  52  ,8
H3JICI01 2024 12    31  13:00  33  ,3
H3JICI01 2024 12    31  13:10 161  ,4
H3JICI01 2024 12    31  13:20   0   0
H3JICI01 2024 12    31  13:30 112  ,3
H3JICI01 2024 12    31  13:40 125  ,3
H3LBEL01 2024 12    31  13:00 142  ,3
H3LBEL01 2024 12    31  13:10   3  ,1
H3LBEL01 2024 12    31  13:20   0   0
H3LBEL01 2024 12    31  13:30   0   0
H3LBEL01 2024 12    31  13:40 155  ,5
H3LIBC01 2024 12    31  13:00 158 1,1
H3LIBC01 2024 12    31  13:10 168  ,4
H3LIBC01 2024 12    31  13:20 204  ,5
H3LIBC01 2024 12    31  13:30 255  ,8
H3LIBC01 2024 12    31  13:40 260  ,7
H3NBYD01 2024 12    31  13:00 158  ,7
H3NBYD01 2024 12    31  13:10  34  ,1
H3NBYD01 2024 12    31  13:20  81  ,7
H3NBYD01 2024 12    31  13:30   0   0
H3PARD01 2024 12    31  13:00 171  ,7
H3PARD01 2024 12    31  13:10 127   1
H3PARD01 2024 12    31  13:20 122 1,6
H3PARD01 2024 12    31  13:30 135 1,5
H3PARD01 2024 12    31  13:40 133 1,2
H3PODE01 2024 12    31  13:00  62  ,4
H3PODE01 2024 12    31  13:10  56  ,4
H3PODE01 2024 12    31  13:20 105  ,7
H3PODE01 2024 12    31  13:30  67  ,3
H3PODE01 2024 12    31  13:40  57  ,8
